left_label,right_label,metric,pair_count,left_mean,right_mean,mean_difference,ci_low,ci_high,t_statistic,p_value
hybrid,retrieval_only,evidence_overlap,59500,0.20238297142857142,0.1452115462184874,0.05717142521008403,0.056507327563025206,0.057840334663865546,177.06486753989992,0.0
hybrid,retrieval_only,rouge_l,59500,0.234485756302521,0.1674432537815126,0.06704250252100839,0.06651636340336134,0.06756759827731093,252.92728335141865,0.0
hybrid,retrieval_only,semantic_sim,59500,0.9088444773109244,0.8870829579831933,0.02176151932773109,0.02153826264705883,0.02198350537815126,187.28604715210614,0.0
hybrid,retrieval_only,bert_score_f1,59500,0.8442691142857142,0.839103487394958,0.005165626890756302,0.005037918529411764,0.005294536218487395,80.75136740986058,0.0
hybrid,kg_only,evidence_overlap,59481,0.20240665422571913,0.2007118777424724,0.0016947764832467508,0.0010873895445604478,0.0022623138060893395,5.466112052623802,4.618567522700261e-08
hybrid,kg_only,rouge_l,59481,0.23450352381432726,0.21120113985978717,0.02330238395454011,0.02275705548830719,0.02381668629478321,83.65960018632182,0.0
hybrid,kg_only,semantic_sim,59481,0.9088463660664751,0.9451501908172357,-0.03630382475076076,-0.03652599161917251,-0.03608029282459945,-311.2038745091371,0.0
hybrid,kg_only,bert_score_f1,59481,0.8442727240631461,0.8834593181015785,-0.039186594038432436,-0.03932293976227703,-0.03905721137842336,-568.1291793281439,0.0
hybrid,hybrid_prompt,evidence_overlap,59500,0.20238297142857142,0.096783312605042,0.10559965882352942,0.10503247147058824,0.10619060764705883,346.1897986624079,0.0
hybrid,hybrid_prompt,rouge_l,59500,0.234485756302521,0.1705352487394958,0.0639505075630252,0.06349579899159664,0.0644155087394958,258.3105624191837,0.0
hybrid,hybrid_prompt,semantic_sim,59500,0.9088444773109244,0.9461585092436974,-0.03731403193277311,-0.03749171617647059,-0.03713900100840336,-408.45183618485834,0.0
hybrid,hybrid_prompt,bert_score_f1,59500,0.8442691142857142,0.8134770100840336,0.030792104201680673,0.030689064957983195,0.030893113739495798,570.8766996399132,0.0
retrieval_only,retrieval_prompt,evidence_overlap,59500,0.1452115462184874,0.0861465949579832,0.0590649512605042,0.05856576735294118,0.05958818714285714,225.1148672789798,0.0
retrieval_only,retrieval_prompt,rouge_l,59500,0.1674432537815126,0.13678231428571427,0.030660939495798317,0.0302809056302521,0.031024887857142858,156.03560992731568,0.0
retrieval_only,retrieval_prompt,semantic_sim,59500,0.8870829579831933,0.9243970638655462,-0.03731410588235294,-0.03748494180672269,-0.037149639495798324,-446.7496737499187,0.0
retrieval_only,retrieval_prompt,bert_score_f1,59500,0.839103487394958,0.8196181949579832,0.01948529243697479,0.019388844747899158,0.019576601428571424,410.1346327951942,0.0
kg_only,kg_prompt,evidence_overlap,59481,0.2007118777424724,0.044077796271078155,0.15663408147139424,0.15596100700223603,0.1572958003816345,474.7232050351945,0.0
kg_only,kg_prompt,rouge_l,59481,0.21120113985978717,0.10626212403960929,0.10493901582017787,0.10436753782720534,0.10548952640338931,371.1552688479026,0.0
kg_only,kg_prompt,semantic_sim,59481,0.9451501908172357,0.9695448075856157,-0.02439461676837982,-0.0245374973100654,-0.0242562525428288,-334.1536560368096,0.0
kg_only,kg_prompt,bert_score_f1,59481,0.8834593181015785,0.8278974058943191,0.05556191220725946,0.05541257321665743,0.05571002992552244,718.4046615392917,0.0
kg_only,retrieval_only,evidence_overlap,59481,0.2007118777424724,0.145209396277803,0.05550248146466939,0.05473457452800054,0.056240855020931055,145.24249736858422,0.0
kg_only,retrieval_only,rouge_l,59481,0.21120113985978717,0.16744425278660413,0.04375688707318304,0.04308907369580202,0.044423695465778984,131.16802411349187,0.0
kg_only,retrieval_only,semantic_sim,59481,0.9451501908172357,0.8870832383450178,0.05806695247221802,0.05783534422756846,0.05828771679191675,493.54874759985523,0.0
kg_only,retrieval_only,bert_score_f1,59481,0.8834593181015785,0.8391026092365629,0.044356708865015713,0.04417722028883172,0.044522212303088386,506.26514227882546,0.0
